,Location,Location_total,Date,Percent
112,Elec_Return Flow from IN_WA_ID_AVA to Spokane River[GwH],10844,12/1/2070,-0.015466241
98,Elec_Return Flow from IN_NV_S to Colorado River[GwH],11124,12/1/2070,-0.01586559
48,Elec_Return Flow from IN_CA_LADWP to CoastalLA River[GwH],11676,12/1/2070,-0.01665288
102,Elec_Return Flow from IN_OR_PDX to Columbia River[GwH],12029,12/1/2070,-0.017156345
83,Elec_Return Flow from IN_ID_S_OR_E to Snake River[GwH],12038,12/1/2070,-0.017169182
108,Elec_Return Flow from IN_UT_N to Bear[GwH],13836,12/1/2070,-0.019733577
72,Elec_Return Flow from IN_CO_DEN to South Platte River[GwH],14109,12/1/2070,-0.020122943
118,Elec_Return Flow from IN_WA_W to Skagit[GwH],15414,12/1/2070,-0.021984197
171,Elec_Transmission Link from CO_DEN_GW to CO_DEN_MUNI[GwH],17044,12/1/2070,-0.024308983
51,Elec_Return Flow from IN_CA_PGE_BAY to San Joaquin Pipeline[GwH],18391,12/1/2070,-0.026230139
104,Elec_Return Flow from IN_OR_W to Middle Santiam River[GwH],19289,12/1/2070,-0.027510911
52,Elec_Return Flow from IN_CA_PGE_CEN to Kings River[GwH],21191,12/1/2070,-0.030223636
55,Elec_Return Flow from IN_CA_PGE_N to Sacramento River[GwH],24577,12/1/2070,-0.035052914
3,Elec_Colo Aqueduct[GwH],29605,4/1/2070,-0.042224092
63,Elec_Return Flow from IN_CA_SCE_S to San Diego Creek[GwH],33101,12/1/2070,-0.047210258
132,Elec_SWP East Branch[GwH],106324,12/1/2070,-0.151644465
